Product_ID,Product_Category,Full_Date,Day_Name,Daily_Sales,Avg_Daily_Sales,Sales_Multiple,Anomaly_Flag
P00000142,Home & Kitchen,2016-11-03,Thursday,278.00,71.66,3.88,HIGH SPIKE
P00000142,Home & Kitchen,2019-05-29,Wednesday,222.40,71.66,3.10,HIGH SPIKE
P00000142,Home & Kitchen,2020-03-27,Friday,222.40,71.66,3.10,HIGH SPIKE
P00000142,Home & Kitchen,2019-08-17,Saturday,222.40,71.66,3.10,HIGH SPIKE
P00000142,Home & Kitchen,2016-07-19,Tuesday,222.40,71.66,3.10,HIGH SPIKE
P00000142,Home & Kitchen,2020-07-11,Saturday,222.40,71.66,3.10,HIGH SPIKE
P00000142,Home & Kitchen,2020-12-27,Sunday,222.40,71.66,3.10,HIGH SPIKE
P00000142,Home & Kitchen,2020-08-08,Saturday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2017-12-23,Saturday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2016-10-26,Wednesday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2015-06-02,Tuesday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2015-05-10,Sunday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2015-04-19,Sunday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2015-12-16,Wednesday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2015-10-13,Tuesday,194.60,71.66,2.72,HIGH SPIKE
P00000142,Home & Kitchen,2016-01-19,Tuesday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2019-03-12,Tuesday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2015-04-10,Friday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2020-09-07,Monday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2018-12-04,Tuesday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2015-01-10,Saturday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2016-04-17,Sunday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2020-09-12,Saturday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2015-06-30,Tuesday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2019-08-29,Thursday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2016-06-30,Thursday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2020-06-09,Tuesday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2017-09-07,Thursday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2016-04-30,Saturday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2020-11-05,Thursday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2015-10-07,Wednesday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2016-11-14,Monday,166.80,71.66,2.33,HIGH SPIKE
P00000142,Home & Kitchen,2020-02-28,Friday,166.80,71.66,2.33,HIGH SPIKE
